web_scraper_order,web_scraper_start_url,data-page-selector,name_1,multiple_data_spesifik_place,BreadcrumbList_ListItem_name_4,Product_Offer_price_0,room_type_0,bathroom_0,apartment_size_0,luas2_Bangunan,certificate_0,view_0,interior_0,apartment_facilities_0,area_facilities_0,makesure_tipe,floor_level_0,Multipel_detail
1763652919-21,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1010509609,"HOT DEAL! Apartemen di Setiabudi, 3 KT, Luas 155m², Lokasi Elite, View Kota",SETIABUDI SKY GARDEN,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.300.000.000,3,2,155 m²Luas Apartemen,,SETIABUDI SKY GARDEN,,Full Furnished,Fasilitas ApartemenKolam RenangInternet,Kolam RenangTaman,ApartemenJualDiperbaharui : 11 Okt 2025 17:22,Apartemen,Detail PropertiNama ApartemenSETIABUDI SKY GARDENTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652930-22,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1009725088,"Apartemen Strategis Kawasan Setiabudi, Luas 159m², 2 KM",Setiabudi Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.000.000.000,2,2,159 m²Luas Apartemen,,Setiabudi Residences,,Full Furnished,,,ApartemenJualDiperbaharui : 11 Okt 2025 17:30,Apartemen,Detail PropertiNama ApartemenSetiabudi ResidencesTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652942-23,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/rumah-dijual-11mily-setiabudi-cp-1011358039,"DIJUAL CEPAT! Rumah Nyaman area Setiabudi, Jakarta Selatan, Luas 375m² LB 210m² Bisa Nego!",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 11.000.000.000,4,3,375 m²Luas Tanah,210 m²Luas Bangunan,SHM,Hook,Unfurnished,Fasilitas RumahDapur,Dekat Tempat Ibadah,RumahJualDiperbaharui : 09 Okt 2025 20:17,5500 Watt,Detail PropertiSertifikatSHMDaya Listrik5500 WattInteriorUnfurnishedTipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur4Kamar Mandi3Tanya Lebih LanjutLihat Lebih Sedikit
1763652953-24,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-9500jt-setiabudi-cp-1011500855,"PRIME LOCATION! Apartemen Kawasan Setiabudi, 0 KM, Luas 30m², Strategis",Taman Sari Sudirman,"Setiabudi, Jakarta Selatan, Jakarta",Rp 950.000.000,1,30 m²,,,Taman Sari Sudirman,,Full Furnished,Fasilitas AreaKolam Renang,,ApartemenJualDiperbaharui : 24 Sep 2025 14:03,30,Detail PropertiNama ApartemenTaman Sari SudirmanTingkat Lantai30Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763652967-25,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/setiabudi-segitiga-emas-kuningan-jakselseyiabudi-rumah-lama-terawat-dengan-baik-harga-ditawarkan-sangat-menarik-1009269279,"KESEMPATAN TERBAIK! Tersedia KPR Rumah Minimalis lokasi Setiabudi, Jakarta Selatan, LT 700m² LB 500m²",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 21.000.000.000,7,3,700 m²Luas Tanah,500 m²Luas Bangunan,SHM,2,Unfurnished,Fasilitas AreaKeamanan 24 JamTamanJogging Track,,RumahJualDiperbaharui : 30 Jun 2025 10:45,1,Detail PropertiSertifikatSHMGarasi1Carpots8Daya Listrik8000 WattInteriorUnfurnishedJumlah Lantai2Tipe PropertiRumahTipe IklanSaleTahun Dibangun2015Kamar Tidur7Kamar Mandi3Tanya Lebih LanjutLihat Lebih Sedikit
1763652978-26,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-12mily-setiabudi-cp-1011326507,"Apartemen Eksklusif di Setiabudi, 1 KM, Luas 171m², Dekat ke Setiabudi, Jakarta Selatan, Jakarta Selatan, Fasilitas Premium",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 12.000.000.000,3,1,171 m²Luas Apartemen,,Apartemen,,Semi Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 21:23,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSaleInteriorSemi Furnished
1763652989-27,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-6mily-setiabudi-cp-1011326547,"Apartemen Strategis di Setiabudi, 2 KT, Luas 127m², Kawasan Setiabudi, Jakarta Selatan, Jakarta Selatan, Fasilitas Lengkap",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 6.700.000.000,2,2,127 m²Luas Apartemen,,Apartemen,,Semi Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 21:01,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSaleInteriorSemi Furnished
1763653000-28,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1010440347,"Apartemen Ready Kawasan Setiabudi, 3 KT, Luas 216m²",SETIABUDI SKY GARDEN,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.200.000.000,3,2,216 m²Luas Apartemen,,SETIABUDI SKY GARDEN,,Full Furnished,Fasilitas AreaKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 20:30,Apartemen,Detail PropertiNama ApartemenSETIABUDI SKY GARDENTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653011-29,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-4mily-setiabudi-cp-1011095482,"HOT PROPERTY! Apartemen di Setiabudi, Jakarta Selatan, 4 KT, Luas 159m², Siap Ditempati, View Kota",Setiabudi Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 4.100.000.000,4,3,159 m²Luas Apartemen,,Setiabudi Residences,,Full Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 20:51,Apartemen,Detail PropertiNama ApartemenSetiabudi ResidencesTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653023-30,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-13mily-setiabudi-cp-1011627219,"BEST DEAL! Apartemen Kawasan Setiabudi, 4 KM, Luas 340m²",Four Seasons Residences,"Setiabudi, Jakarta Selatan, Jakarta",Rp 13.000.000.000,4,4,340 m²Luas Apartemen,,Four Seasons Residences,,Full Furnished,Fasilitas AreaDekat Tempat IbadahKolam RenangTaman,,ApartemenJualDiperbaharui : 12 Okt 2025 21:09,1,Detail PropertiNama ApartemenFour Seasons ResidencesTingkat Lantai1Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653034-31,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-2mily-setiabudi-cp-1011832636,"Apartemen Kawasan Setiabudi, 1 KM, Luas 79m2m², Dekat Setiabudi, Jakarta Selatan, Jakarta Selatan",SETIABUDI SKY GARDEN,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.700.000.000,2,1,79 m²Luas Apartemen,,SETIABUDI SKY GARDEN,,Full Furnished,Fasilitas ApartemenKolam RenangInternetCCTVTeleponWifiMesin Cuci,Kolam RenangTaman,ApartemenJualDiperbaharui : 21 Okt 2025 12:54,29,Detail PropertiNama ApartemenSETIABUDI SKY GARDENTingkat Lantai29Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653046-32,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/rumah-dijual-11mily-setiabudi-cp-1011773337,"Rumah LT 250m² / LB 350m² View Gunung di Setiabudi, Jakarta Selatan",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 11.000.000.000,4,3,250 m²Luas Tanah,350 m²Luas Bangunan,SHM,Sale,,Fasilitas RumahACTeleponWifi,Pusat KebugaranTaman,RumahJualDiperbaharui : 15 Okt 2025 05:23,1,Detail PropertiSertifikatSHMCarpots1Daya Listrik4400 WattJumlah Lantai2Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur4Kamar Mandi3Tanya Lebih LanjutLihat Lebih Sedikit
1763653058-33,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/rumah-mega-kuningan-setia-budi-jalan-karang-asem-best-price-1007542912,"Rumah LT 865m² / LB 365m² Fasilitas Jogging Track di Setiabudi, Jakarta Selatan",SHM,"Setiabudi, Jakarta Selatan, Jakarta",Rp 50.000.000.000,4,4,865 m²Luas Tanah,365 m²Luas Bangunan,SHM,Rumah,Semi Furnished,Fasilitas RumahACCCTVTelepon,Keamanan 24 JamTamanParkir Mobil,RumahJualDiperbaharui : 10 Sep 2025 04:29,4,Detail PropertiSertifikatSHMGarasi4Carpots2InteriorSemi FurnishedJumlah Lantai1Tipe PropertiRumahTipe IklanSaleOrientasi BangunanHookKamar Tidur4Kamar Mandi4Tanya Lebih LanjutLihat Lebih Sedikit
1763653070-34,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-2mily-setiabudi-cp-1011756026,"UNIT TERBAIK! Apartemen di Setiabudi, 2 KT, Luas 66m², Lokasi Premium, Fasilitas Lengkap, Siap Ditempati",The Grove Apartment,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.100.000.000,2,1,66 m²Luas Apartemen,,The Grove Apartment,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetCCTVTeleponWifiMesin CuciLihat Lebih Sedikit,Dekat Tempat IbadahKolam RenangTaman,ApartemenJualDiperbaharui : 13 Okt 2025 19:05,12,Detail PropertiNama ApartemenThe Grove ApartmentTingkat Lantai12Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653083-35,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-2mily-setiabudi-cp-1011378912,"PRIME UNIT! Apartemen di Setiabudi, 1 KM, Luas 42m², Lokasi Elite, Fasilitas Terlengkap",Apartemen,"Setiabudi, Jakarta Selatan, Jakarta",Rp 2.000.000.000,1,1,42 m²Luas Apartemen,,Apartemen,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetCCTVTeleponWifiMesin CuciLihat Lebih Sedikit,Dekat Tempat IbadahKolam RenangTaman,ApartemenJualDiperbaharui : 10 Okt 2025 00:04,Sale,Detail PropertiTipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
1763653096-36,https://www.99.co/id/jual/cari/area-jakarta-selatan/setiabudi?listingView=grid&tipe_properti=1%2C2&hlmn=13,https://www.99.co/id/properti/apartemen-dijual-5mily-setiabudi-cp-1011783994,"Apartemen Kawasan Setiabudi, 2 KM, Luas 128m², Kawasan Setiabudi, Jakarta Selatan, Jakarta Selatan",Ciputra World 2,"Setiabudi, Jakarta Selatan, Jakarta",Rp 5.300.000.000,3,2,128 m²Luas Apartemen,,Ciputra World 2,,Full Furnished,Fasilitas ApartemenKolam RenangTV KabelInternetCCTVTeleponWifiMesin CuciLihat Lebih Sedikit,Dekat Tempat IbadahKolam RenangTaman,ApartemenJualDiperbaharui : 15 Okt 2025 21:40,50,Detail PropertiNama ApartemenCiputra World 2Tingkat Lantai50Tipe PropertiApartemenTipe IklanSaleInteriorFull Furnished
